lsoa_name,date_key,total_crimes,rn
Westminster 023E,2022-05,6784,1.0
Lambeth 036E,2022-05,3528,2.0
City of London 001F,2022-05,1744,3.0
Westminster 017D,2022-05,1421,4.0
Westminster 018A,2022-05,1372,5.0
Camden 022E,2022-05,1312,6.0
Islington 005B,2022-05,1296,7.0
Westminster 008D,2022-05,1280,8.0
Southwark 006F,2022-05,1125,9.0
Islington 013D,2022-05,1029,10.0
Westminster 023E,2022-06,5440,1.0
Westminster 017D,2022-06,3087,2.0
Lambeth 036E,2022-06,1960,3.0
Westminster 018A,2022-06,1813,4.0
City of London 001F,2022-06,1744,5.0
Camden 022E,2022-06,1424,6.0
Westminster 018C,2022-06,1300,7.0
Westminster 008D,2022-06,1088,8.0
Islington 005B,2022-06,1044,9.0
Camden 028B,2022-06,1008,10.0
Westminster 023E,2022-07,5248,1.0
Westminster 017D,2022-07,2646,2.0
Lambeth 036E,2022-07,1960,3.0
City of London 001F,2022-07,1808,4.0
Wandsworth 012E,2022-07,1656,5.0
Islington 005B,2022-07,1476,6.0
Westminster 018A,2022-07,1421,7.0
Camden 022E,2022-07,1248,8.0
Westminster 013B,2022-07,1225,9.0
Westminster 008D,2022-07,1152,10.0
Westminster 023E,2022-08,1600,1.0
Lambeth 036E,2022-08,1127,2.0
City of London 001F,2022-08,816,3.0
Westminster 018A,2022-08,784,4.0
Westminster 017D,2022-08,637,5.0
Westminster 008D,2022-08,576,6.0
Islington 013D,2022-08,490,7.0
Westminster 008A,2022-08,490,7.0
Westminster 020C,2022-08,490,7.0
Kingston upon Thames 011B,2022-08,441,8.0
Wandsworth 012E,2022-08,432,9.0
Islington 005B,2022-08,396,10.0
Westminster 023E,2022-09,1472,1.0
Lambeth 036E,2022-09,833,2.0
City of London 001F,2022-09,704,3.0
Westminster 017D,2022-09,637,4.0
Westminster 018A,2022-09,637,4.0
Westminster 008D,2022-09,512,5.0
Southwark 007B,2022-09,441,6.0
Westminster 020C,2022-09,441,6.0
Camden 028B,2022-09,396,7.0
Wandsworth 012E,2022-09,396,7.0
Islington 005B,2022-09,360,8.0
Kingston upon Thames 011B,2022-09,343,9.0
Westminster 008A,2022-09,343,9.0
Ealing 041A,2022-09,324,10.0
Westminster 023E,2022-10,1344,1.0
Lambeth 036E,2022-10,980,2.0
Westminster 017D,2022-10,686,3.0
Westminster 018A,2022-10,686,3.0
Westminster 008D,2022-10,640,4.0
Islington 013D,2022-10,637,5.0
City of London 001F,2022-10,624,6.0
Islington 005B,2022-10,504,7.0
Westminster 020C,2022-10,490,8.0
Hammersmith and Fulham 004A,2022-10,441,9.0
Havering 013C,2022-10,392,10.0
Kingston upon Thames 011B,2022-10,392,10.0
Westminster 008A,2022-10,392,10.0
Westminster 013B,2022-10,392,10.0
Westminster 023E,2022-11,1472,1.0
Lambeth 036E,2022-11,1225,2.0
City of London 001F,2022-11,816,3.0
Westminster 018A,2022-11,735,4.0
Hammersmith and Fulham 004A,2022-11,637,5.0
Westminster 020C,2022-11,637,5.0
Westminster 008D,2022-11,576,6.0
Southwark 007B,2022-11,539,7.0
Westminster 017D,2022-11,539,7.0
Islington 013D,2022-11,490,8.0
Westminster 011B,2022-11,441,9.0
Ealing 041A,2022-11,432,10.0
Islington 005B,2022-11,432,10.0
Wandsworth 012E,2022-11,432,10.0
Westminster 023E,2022-12,1600,1.0
Lambeth 036E,2022-12,1029,2.0
City of London 001F,2022-12,752,3.0
Westminster 017D,2022-12,686,4.0
Westminster 018A,2022-12,686,4.0
Westminster 008D,2022-12,640,5.0
Islington 013D,2022-12,539,6.0
Southwark 007B,2022-12,539,6.0
Westminster 020C,2022-12,539,6.0
Westminster 011B,2022-12,490,7.0
Westminster 013B,2022-12,490,7.0
Islington 005B,2022-12,468,8.0
Wandsworth 012E,2022-12,396,9.0
Westminster 018B,2022-12,396,9.0
Kensington and Chelsea 012A,2022-12,384,10.0
Westminster 023E,2023-01,1536,1.0
Lambeth 036E,2023-01,1176,2.0
Westminster 018A,2023-01,882,3.0
City of London 001F,2023-01,704,4.0
Hammersmith and Fulham 004A,2023-01,686,5.0
Westminster 017D,2023-01,637,6.0
Westminster 008D,2023-01,576,7.0
Islington 013D,2023-01,539,8.0
Westminster 011B,2023-01,539,8.0
Islington 005B,2023-01,504,9.0
Southwark 007B,2023-01,490,10.0
Westminster 020C,2023-01,490,10.0
Westminster 023E,2023-02,1408,1.0
Lambeth 036E,2023-02,833,2.0
City of London 001F,2023-02,784,3.0
Westminster 018A,2023-02,784,3.0
Westminster 017D,2023-02,588,4.0
Westminster 020C,2023-02,539,5.0
Westminster 008D,2023-02,512,6.0
Westminster 013B,2023-02,490,7.0
Islington 013D,2023-02,441,8.0
Westminster 008A,2023-02,441,8.0
Hammersmith and Fulham 013C,2023-02,396,9.0
Southwark 007B,2023-02,392,10.0
Westminster 011B,2023-02,392,10.0
Westminster 023E,2023-03,1536,1.0
Lambeth 036E,2023-03,1225,2.0
City of London 001F,2023-03,784,3.0
Westminster 020C,2023-03,686,4.0
Hammersmith and Fulham 004A,2023-03,637,5.0
Westminster 017D,2023-03,637,5.0
Westminster 018A,2023-03,637,5.0
Westminster 013B,2023-03,539,6.0
Westminster 008D,2023-03,512,7.0
Kingston upon Thames 011B,2023-03,490,8.0
Westminster 008A,2023-03,490,8.0
Ealing 041A,2023-03,468,9.0
Islington 005B,2023-03,468,9.0
Wandsworth 012E,2023-03,468,9.0
Kensington and Chelsea 008D,2023-03,448,10.0
Westminster 023E,2023-04,1344,1.0
Lambeth 036E,2023-04,1176,2.0
Islington 013D,2023-04,784,3.0
Westminster 008D,2023-04,768,4.0
City of London 001F,2023-04,688,5.0
Westminster 018A,2023-04,686,6.0
Westminster 017D,2023-04,637,7.0
Westminster 020C,2023-04,637,7.0
Westminster 008A,2023-04,588,8.0
Westminster 013B,2023-04,490,9.0
Islington 023D,2023-04,448,10.0
Westminster 023E,2023-05,1216,1.0
Lambeth 036E,2023-05,1078,2.0
City of London 001F,2023-05,832,3.0
Westminster 017D,2023-05,735,4.0
Westminster 018A,2023-05,735,4.0
Westminster 020C,2023-05,686,5.0
Islington 013D,2023-05,588,6.0
Westminster 018C,2023-05,500,7.0
